01008908,"Secretaria de Estado da Segurança Pública de São Paulo, Rua Líbero Badaró, 600",Centro,"São Paulo", "SP"
01009000,"Rua Líbero Badaró, lado ímpar",Centro,"São Paulo", "SP"
01009902,"Edifício Meridional, Rua Líbero Badaró, 101",Centro,"São Paulo", "SP"
01009903,"Bolsa de Mercadorias de São Paulo, Rua Líbero Badaró, 471",Centro,"São Paulo", "SP"
01009904,"Banco Mitsubishi Brasileiro S.A., Rua Líbero Badaró, 633",Centro,"São Paulo", "SP"
01009905,"Edifício Grande São Paulo, Rua Líbero Badaró, 425",Centro,"São Paulo", "SP"
01009906,"Edifício Mercantil Finasa, Rua Líbero Badaró, 377",Centro,"São Paulo", "SP"
01009907,"Edifício Conde Prates, Rua Líbero Badaró, 293",Centro,"São Paulo", "SP"
01009908,"Justiça Federal Primeira Instância Seção Judiciária, Rua Líbero Badaró, 73 6º Andar",Centro,"São Paulo", "SP"
01009999,"Serv Carta, Cartão e Envelope-Encomenda Resposta - AC Central de São Paulo, Rua Líbero Badaró, 595",Centro,"São Paulo", "SP"
01010000,"Rua São Bento, até 318 - lado par",Centro,"São Paulo", "SP"
01010001,"Rua São Bento, de 320 ao fim - lado par",Centro,"São Paulo", "SP"
01010010,Praça Antônio Prado,Centro,"São Paulo", "SP"
01010900,"Edifício Henrique Lara, Praça Antônio Prado, 33",Centro,"São Paulo", "SP"
01010901,"Bolsa Mercantil de Futuro, Praça Antônio Prado, 48",Centro,"São Paulo", "SP"
01010902,"Edifício York, Rua São Bento, 290",Centro,"São Paulo", "SP"
01010903,"Edifício Irmandade de Santa Casa, Rua São Bento, 370",Centro,"São Paulo", "SP"
01010904,"Secretaria de Esporte e Turismo do Estado de São Paulo, Rua São Bento, 398",Centro,"São Paulo", "SP"
01010905,"Edifício Diogo Lara Neto, Rua São Bento, 470",Centro,"São Paulo", "SP"
01011000,"Rua São Bento, até 319 - lado ímpar",Centro,"São Paulo", "SP"
01011100,"Rua São Bento, de 321 ao fim - lado ímpar",Centro,"São Paulo", "SP"
01011900,"Edifício Kosmos, Rua São Bento, 59",Centro,"São Paulo", "SP"
01011901,"Edifício Germaine Lucie Burchard, Rua São Bento, 279",Centro,"São Paulo", "SP"
01011902,"Edifício Alvares Penteado, Rua São Bento, 329",Centro,"São Paulo", "SP"
01011903,"Edifício Garbur, Rua São Bento, 365",Centro,"São Paulo", "SP"
01011904,"Edifício Galeria São Bento, Rua São Bento, 545",Centro,"São Paulo", "SP"
01012001,"Rua Álvares Penteado, lado ímpar",Centro,"São Paulo", "SP"
01012010,Rua da Quitanda,Centro,"São Paulo", "SP"
01012020,Largo da Misericórdia,Centro,"São Paulo", "SP"
01012030,Largo do Café,Centro,"São Paulo", "SP"
01012902,"Bradesco - Banco Brasileiro de Descontos, Rua Álvares Penteado, 180",Centro,"São Paulo", "SP"
01012905,"Associação dos Advogados de São Paulo, Rua Álvares Penteado, 151",Centro,"São Paulo", "SP"
01012907,"Edifício São Carlos, Rua da Quitanda, 96",Centro,"São Paulo", "SP"
01012908,"Edifício George Loeb, Rua da Quitanda, 113",Centro,"São Paulo", "SP"
01012909,"Edifício Ouro Para O Bem de São Paulo, Largo da Misericórdia, 23",Centro,"São Paulo", "SP"
01013000,"Rua Quinze de Novembro, lado par",Centro,"São Paulo", "SP"
01013001,"Rua Quinze de Novembro, lado ímpar",Centro,"São Paulo", "SP"
01013010,Rua do Comércio,Centro,"São Paulo", "SP"
01013020,Rua do Tesouro,Centro,"São Paulo", "SP"
01013901,"Edifício Azevedo Vilares, Rua do Tesouro, 23",Centro,"São Paulo", "SP"
01013902,"Edifício Santa Maria, Rua do Tesouro, 47",Centro,"São Paulo", "SP"
01013904,"Condomínio das Bandeiras, Rua Quinze de Novembro, 184",Centro,"São Paulo", "SP"
01013905,"Edifício XV de Novembro, Rua Quinze de Novembro, 200",Centro,"São Paulo", "SP"
01013906,"BMeF Bovespa S.A., Rua Quinze de Novembro, 275",Centro,"São Paulo", "SP"
01013907,"Edifício Banco Itaú, Rua Quinze de Novembro, 306",Centro,"São Paulo", "SP"
01013909,"Lloyds Bank, Rua Quinze de Novembro, 165",Centro,"São Paulo", "SP"
01013910,"ML Gomes Associados SC Ltda., Rua Quinze de Novembro, 164",Centro,"São Paulo", "SP"
01013911,"Edifício Conde Eduardo de Matarazzo, Rua Quinze de Novembro, 228",Centro,"São Paulo", "SP"
01013913,"Edifício Joaquim Borges, Rua Quinze de Novembro, 269",Centro,"São Paulo", "SP"
01013914,"Bradesco - Banco Brasileiro de Descontos, Rua Quinze de Novembro, 233",Centro,"São Paulo", "SP"
01013915,"Banco Safra S.A.., Rua Quinze de Novembro, 212",Centro,"São Paulo", "SP"
01014000,"Rua Boa Vista, lado par",Centro,"São Paulo", "SP"
01014010,Rua João Brícola,Centro,"São Paulo", "SP"
01014020,Rua Três de Dezembro,Centro,"São Paulo", "SP"
01014030,Viaduto Boa Vista,Centro,"São Paulo", "SP"
01014900,"Banco do Estado de São Paulo, Rua João Brícola, 24",Centro,"São Paulo", "SP"
01014901,"Edifício Gabriel Gonçalves, Rua Boa Vista, 84",Centro,"São Paulo", "SP"
01014902,"Banco Bandeirantes S.A., Rua Boa Vista, 162",Centro,"São Paulo", "SP"
01014903,"Edifício Banco Meridional, Rua Boa Vista, 200",Centro,"São Paulo", "SP"
01014905,"Edifício Bamerindus do Brasil, Rua Boa Vista, 234",Centro,"São Paulo", "SP"
